n1189512,穆正新：志愿军战俘系列之一—红色滑铁卢（1）
n12585438,《共产主义黑皮书》：安哥拉
n12596409,《共产主义黑皮书》：莫桑比克
n12613254,《共产主义黑皮书》：难逃苏联魔掌
n12623116,《共产主义黑皮书》：巨大的监狱
n12633845,《共产主义黑皮书》：无名的全面战争
n12640254,《共产主义黑皮书》：焦土政策
n12644821,《共产主义黑皮书》：共产主义的直接后果
n12655045,《共产主义黑皮书》：革命概念的产生与演进
n12660322,《共产主义黑皮书》：暴力传统与世界大战
n12666294,《共产主义黑皮书》：恐怖的真正动机
n12671223,《共产主义黑皮书》：列宁主义的骗局
n12685891,《共产主义黑皮书》：内战——永久政治斗争
n12690702,《共产主义黑皮书》：阶级战争
n12696339,王友群：中共早就是个“跨国犯罪集团”
n12696212,《共产主义黑皮书》：将人类动物化
n12700684,《共产主义黑皮书》：科学主义与犯罪意识形态
n12707756,【微历史】共产党利用民主在三大国夺权：苏联篇
n12705614,《共产主义黑皮书》：地狱与救赎
n12728677,王友群：王书金死了 谁是杀害聂树斌的真凶？
n12740955,【微历史】共产党利用民主在三国夺权：中国篇
n12765178,田云：中共党史与华春莹的反问句
n12773250,【有冇搞错】中共军人现身缅甸？不可能
n12833861,王友群：习近平要保的中共 百年杀人知多少？
n12849121,王友群：美国人民持续反对中共迫害法轮功
n12882305,周晓辉：“三大纪律”下的绑票与中共建国中国
n12888747,周晓辉：中共长征逃亡前的大屠杀与遵义会议真相
n12958960,周晓辉：中共消灭地主包藏祸心 农学家预言成真
n12996229,周晓辉：四人帮替毛担罪责 邓小平六四镇压添血债
n13003575,张菁：中共“长征”中的绑票筹款亲历者
n13030146,首位文革杀人犯的忏悔：革命逆天、人命关天
n13031878,【首播】前军报记者：经历六四 认清党军
n13042778,七一临近 中共为保百年庆不惜血本严控民众
n13045460,中共党媒高喊江山就是人民 专家：愚民之说
n13048047,七一前 美提重磅决议 批中共侵人权百年
n13049750,揭中共百年丑恶 红二代：这场革命根本是错的
n13049352,外媒揭中共专政三手段：没有一个党能万岁
n13055714,【唐浩视界】中共祸乱百年 五大冤案解密
n13056042,中共发布百年大事记 数千万受害者被抹掉
n13056056,中共百年刻意忽略黑暗历史 专家：怕被解体
n13051791,【百年透视】中共暴政的杀人历史
n13057905,林保华谈中共党史 用鲜血和谎言建吃人政权
n13059116,中共百年 加媒曝“世界最大秘密组织”真面目
n13060723,美参议员提决议 谴责中共百年摧毁无数生命
n13060640,王丹揭中共百年罪恶 苏共豢养的外国颠覆势力
n13061062,美欧多议员：中共百年迫害人权 必须追责
n13061220,珀斯多团体抗议 中领馆百年党庆晚宴被搅黄了
n13061271,蓬佩奥谈中共百年：杀害人民最多的党
n13060687,中共创党百年 台时力：是一部中国人权侵害史
n13061399,中共百年 温哥华民众中领馆前设灵堂
n13061044,七一之际 卢比奥撰文：勿忘中共暴行
n13061736,【秦鹏直播】蓬佩奥评中共百年：杀人民最多的党
n13061979,揭中共百年暴行 洛城华人七一举行接力活动
n13054366,澳洲举办“天下围共 百年送终”网络集会  
n13062681,圣地亚哥港人七一集会“将中共恶事唱通街”
n13062013,田云：中共谎言登峰造极 两个“万岁”揭面具
n13062573,为中共送终 纽约民众7.1到中领馆送黑棺
n13063735,中共百年 美参众议员：纪念被暴政杀害者时刻
n13062777,旅美侨领李林：我祖父误入中共被“走火入魔”
n13064230,【新闻看点】彭定康斥港内奸 华人给中共送棺材
n13064114,《方菲访谈》胡平：父亲在“镇反”中被害
n13065208,【唐浩视界】揭中共13大谎言 真相惊醒你
n13062043,多伦多七·一大游行 控诉中共百年罪恶
n13067084,专家：中共党庆异象 凸显政权陷末日危机
n13068873,中共百年 德国慕尼黑多团体揭其危害全球
n13074024,美州长宣布“共产主义受害者纪念月”
n13076766,中共百年党庆 看其铁窗下精英们的苦难（5）
n13084455,易蓉：百年红祸恶贯满盈 解体中共刻不容缓
n13085641,戈壁东：中共是这个世界最邪恶的政权
n13085246,观“中共百年罪恶”展 纽约青年：美应吸取教训
n13091782,【首播】专访盛慕真教授：毛的血腥群众运动
n13053647,【思想领袖】哈斯：中共窜改国际人权规范
n13115371,中共反人类图片纽约展：抵制中共就是抵制病毒
n13177158,王友群：毛泽东发动大跃进 饿死四千万人
n13203590,王晶垚含恨去世 妻子55年前被红卫兵打死
n13205254,作家遇罗文揭文革：红二代打死人没受惩罚
n13209074,【方菲访谈】专访宋永毅：揭广西文革骇人真相 （下）
