n1411013,法轮功学员北京被捕太太赴美求救
n2968210,网络直播：香港各界声援法轮功反迫害11年集会及游行
n2968771,澳民众了解法轮功真相 感动落泪
n2970533,江苏盐城六法轮功学员有力庭辩
n2970872,7.20法轮功反迫害11年 中国律师界正义呼声之一
n2970889,大陆高干子弟谈法轮功反迫害 看到“希望”
n2972996,7．20前澳人权专员呼吁立法 制裁屠杀者江泽民
n2973061,反迫害11年 法轮功对世界的影响(1)
n2974130,美国国会山集会 各界声援法轮功反迫害
n2975109,加淘金节大游行　法轮功获健康与幸福奖
n2975302,美国首都三千人集会 呼吁解体中共 结束迫害
n2975885,组图：墨尔本法轮功反迫害游行集会（一）
n2977709,组图：美国会山各界声援法轮功反迫害集会
n2978260,组图：美国首府华盛顿法轮功反迫害大游行（七）
n2978860,国企技术人员：修炼后福泽全家
n2978925,奥媒:  一对中国父子的故事
n2981492,用艺术揭露迫害 表达崇高的修炼意境
n2988490,律师为法轮功无罪辩护 震动乐山公检法
n2989181,巴黎警局正式认可法轮功中使馆前抗议
n2996169,日籍华人再吁营救姐姐
n2996825,抵台闻法轮功学员控告 黄华华错愕快闪
n2997004,台湾法轮功当面要求高检紧急拘提黄华华
n2997116,台湾各界支持法轮功告黄华华
n2998070,台法轮功学员故宫高举诉状 黄华华仓皇奔离
n2998112,台湾知名人权律师 吁高检依法侦办黄华华
n2999210,台法轮功要求高检署真正“依法办理”黄华华案
n2999293,黄华华来台 立委支持法轮功维护人权
n2999252,法轮功告黄华华 中外媒体反响快
n3000255,台北市议员支持高检拘提黄华华
n3002883,迫害法轮功 黄华华台湾行路难 狼狈离开
n3002983,法轮功律师团对黄华华案的公开声明
n3003191,见证法轮大法是超常的科学
n3003794,伦敦司机的感动
n3031163,亚平会服务扩展至布碌崙
n3044148,“阳光行动”16日法拉盛登场
n3190259,313  王金平号召全国捐热血
n3765636,2013年法轮功真相年历在大陆供不应求
n3578680,一大陆法轮功学员这样接受警察“审讯”
n3581397,法轮功进入美国新泽西大学课堂
n3584072,普通班学生明真相  高考成绩赛过重点班
n3590601,了解真相后 法院院长也要学法轮功
n3590603,法轮功中亲身受益  利用网络广传真相
n3594056,一位法轮功学员“转化”看守警察的故事
n3594063,投书：小严的转变
n3597166,卞和祥：震惊中南海的签名事件 全民拭目以待
n3597439,“300手印”震动政治局  律师：正邪的较量
n3597839,“300手印”惊动中共高层 检察院将案件退回公安
n3598514,“300手印”事件 燃烧至大陆民主党派
n3599059,“300手印”主角王晓东妹妹被抓  现下落不明
n3599237,政法委打手继续作恶  学者声援河北联名事件
n3599340,中国泛蓝联盟：300户村民的行动让人振奋
n3599455,警察 : 开始认识法轮功
n3599461,一个牵动中国政坛的小人物故事
n3599368,华人社区讲真相 法轮功学员获英女王奖章
n3600187,民间组织支持法轮功  呼吁“为法轮功平反”
n3600349,法轮功被迫害十三年  大陆民众明真相吁结束
n3600810,“300手印”义举感人  高智晟律师夫人盛赞
n3602090,【投书】：老太被倒塌高墙埋没后安然无恙
n3602196,现代版牛郎织女  真情故事震撼人心
n3602377,10余年毒瘾4个月戒掉  湖北青年轰动一时
n3602437,江西独立候选人支持“300手印” 谴责文革式迫害
n3602466,贵州独立候选人支持“300手印”：如在场也按手印
n3602470,川震志愿者声援300手印 要求公审周永康
n3603618,救哥哥收集“300手印” 王晓美遭强押沧州看守所
n3603498,湖南警察打死法轮功学员 激民愤
n3603654,史无前例 当事人申请党员回避庭审 双城法院措手不及
n3603234,手印事件扩大 562河北民众按红手印呈法庭吁释放法轮功
n3608736,【纪实报告】2011年10月黑龙江双城特大绑架案
n3608869,美国道德研究所赞“300手印”惊天动地的良心之举
n3609982,中国民主党全委会东南亚分部支持“300手印”谴责迫害
n3611697,闻“300手印”事件 贵州访民谴责中共太卑鄙
n3613031,北京交警：天安门广场自焚是政府安排的
n3613161,文道：手印事件的伟大道德力量（一）
n3614638,文道：手印事件的伟大道德力量（二）
n3617104,警察绑架法轮功学员  唐山数百民众人墙阻挡
n3618294,15,000手印背后的故事 敢于说真话的中国人
n3618315,当局抵赖虐杀法轮功学员  狱警按手印揭凶手是狱长
n3619664,明真相的基层干部这样抵制迫害
n3623086,警察和围观人群：“没见过这么好的人”
n3625238,“建党日”变“退党日” 中共高官闻真相郑重退党
n3627095,黑龙江汤原县二百多村民联名营救王正玉
n3634108,美国会议员康诺利：感谢法轮功学员讲真相
n3636919,大陆法轮功学员遭迫害 民众发声挺身维护
n3638418,多瑙河畔古城传法轮功真相　民众支持
n3639249,七二零前夕芬兰民众支持制止迫害法轮功
n3639677,英国会议员人权组织谴责中共迫害法轮功
n3643218,投资移民明真相 对李洪志大师充满敬意
n3643574,美国会议员：法轮功学员是美国人民楷模
n3644568,法轮功反迫害13年爱尔兰多位议员表支持
n3645020,十万征签声援钟鼎邦　中外媒体关注
n3647257,芬兰约恩苏市民众踊跃支持法轮功反迫害
n3647316,费城法轮功反迫害活动引西方媒体关注
n3651691,德国民众支持反中共活摘器官暴行
n3651718,唐恩：两千项褒奖的一致推崇
n3654691,政治局常委会差遣贾庆林返乡密查“300手印事件”
n3661890,谁举报法轮功 罚谁200元
n3686330,陈云林访金门 台媒：看到了法轮功横幅
n3685192,“请帮我快退党！” 大陆多地区民众急等“三退”
n3687721,正义正气支持法轮功 血债帮香港行恶自败
n3689695,海外女博士访谈：父母退党带动全家族“三退”
n3692190,土耳其民众：中共活摘器官是魔鬼行为
n3695917,对得起良心有神帮
n3695933,“到那一天，我们中国人就迎李师父回来”
n3697683,我和北京律师的故事
n3699883,阿城四百乡邻签名按手印  要求警察释放好人谭玉蕊
n3700376,各国议员愤忾谴责中共活摘器官
n3703870,让周永康乾瞪眼的山东村官“维稳”策略
n3705370,老姨妈下乡发光盘   民众：盼中共早垮台
n3706313,守住心中善良的公司老板
n3706319,一张光盘结下的一份善缘
n3707529,这样的政府必须下台，要清算他们！
n3707531,优秀教师蒙冤  警察借机诈骗 百姓鸣不平
n3708916,曾经偷盗盛行的小山村咋就变了呢？
n3710691,各国民众签名 谴责中共活摘器官
n3711153,闻活摘真相　悉尼民众签名谴责中共罪行
n3714008,美国会议员普莱斯：中共活摘器官应被诅咒抛弃
n3715570,清算开始？ 湖北法教所被追究法律责任
n3716289,中共恐吓无效 河北“700手印”第四次联名
n3719068,辽宁清原县村民签名要求释放刘丽英
n3719384,明真相义捐救人　有神护生意兴隆灭灾化险
n3720096,全民反迫害组织发倡议 大陆警察纷签名“红手印”
n3720125,德国人：现在我不去中国 等迫害结束再说
n3720885,过招
n3721008,“手印事件”呈燎原之势  全民反迫害势不可挡
n3721439,海外校友给北京工业大学领导、教师的一封信
n3728452,大陆“翻墙”成时尚 领导拟帮119位员工退党
n3732994,被婆婆和丈夫欺凌后如何搞好家庭关系
n3733769,【历史回顾】北京卫视被插播法轮功真相片
n3734607,欧洲景点　大陆游客退党自救
n3739839,“善人”的故事
n3739904,一生“被运动”的老干部“三退”了
n3750405,斐越签协议  共同打击犀牛盗猎
n3751966,炼钢炉意外泄漏时 奇迹发生了……
n3752529,一份震惊大陆法庭的辩护词
n3753554,大陆名律师揭以江泽民言论定罪的惊天骗局
n3757612,善正清：一个普通中国人眼里的共产党与法轮功
n3765142,河北基层官员放神韵光碟 协助民众集体退党
n3767238,【邢天行】中文维基点击率最高排名揭示的中国隐情
n3769617,组图：法轮功条幅映雪迎元旦
n3771074,河北正定  因何成为2012网络热词
n3774789,大陆民众盼“神韵”：这是真正的中国文化
n3776909,大陆保密局长“三退”  民众争阅《九评》
n3783951,中共退役军官退党：共产党的宗旨是为自己
n3784048,十二年前惊天世纪伪案 延续至今的中南海权斗核心
n3786494,大陆警察破网看真相  法院院长要学法轮功
n3796001,郑言：西班牙主流媒体聚焦中国“古拉格”黑幕
n3796416,中国民众纷选择蛇年过年前办理退党“保平安”
n3799672,组图：新年期间大陆各地出现真相条幅
n3810875,过年期间欧洲游  大陆民众忙着“三退”
n3819994,中国游客到欧洲下车就找大纪元：最说真话！
n3826553,河北正定县逾万民众签名反迫害 营救法轮功学员
n3827039,澳洲参议员：“真、善、忍”国际美展很美
n3830270,【陈思敏】：河北青龙的民怒――共产党太坏了
n3831721,为救唐山诚信商人郑祥星　河北万人签字按手印
n3832901,参加两会官员智慧退党 中共空军官兵要“起义”
n3835981,向大纪元问好的北京游客高呼法轮大法好
n3846044,大陆公安局大队长、军人“三退”记
n3847437,一位“包夹”想告诉你的九个字
n3853022,“4‧25”十四周年 大陆游客澳门“三退”
n3856379,诚念“法轮大法好”显神奇
n3856592,组图：山东某市街头现大量真相标语
n3857134,法轮功和平讲真相14年 一批批大陆游客退出中共支持反迫害
n3859948,互助三退成时尚 大陆父亲请义工劝官员儿子退党
n3860904,一个河南派出所所长的改变
n3864056,湖北戴美霞被“六一零”迫害 二千人签名手印抗议
n3869820,法轮大法弘传二十一载 铺就生命回升之路
n3882669,大陆游客盼共产党早完蛋 半小时30人三退
n3891676,中共政协主席访丹麦 惧怕法轮功抗议
n3902425,香港法轮功反迫害集会游行 各界支持
n3903113,中共“7‧1”拉人入党 民众互劝“三退”
n3905375,大陆四千民众集体三退 银行主管要学法轮功
n3907564,河北唐海县人大代表和镇党委书记退党记
n3907946,再次接到真相电话  公务员果断退党
n3921870,独家视频：法轮功烛光追悼会 中共青关会暴力冲击警方
n3930289,组图：北京街头的“退党声明”
n3932813,虽千万人吾往矣 论港女教师被抹黑事件
n3935114,伦敦唐人街大陆中学生了解真相选择三退
n3940277,大陆游客：我相信“天安门自焚”是假的
n3941989,做“中国梦”的党委书记 明真相退党
n3944502,政府官员：在共产党的体制里想做好人难
n3948180,美亚利桑那州立大学法轮大法协会迎新展
n3952667,唐恩：联名营救无辜  见证人心觉醒
n3964372,多伦多五万四千人签名谴责中共活摘罪行
n3965382,旅欧大陆游客：想听法轮功怎么说
n3970163,向大陆拨打电话劝三退的小故事
n3971747,德国联邦国会议员：我知道，我来签
n3975237,尘世轮回苦 得法何其幸
n3976956,联合国人权会曝光活摘器官　中共干扰未遂
n3977055,华人：我家全都不交党费了 还需要退吗？
n3978998,郑立：《我在多伦多见闻（三十七）》信口雌黄
n3980608,欧洲景点薄案成热门话题  一巴士中共官员争相退党
n3982147,九旬老父几次遭遇险境的故事
n3982309,“有像你这样的人，一定推荐给我们”
n3982755,天国乐团 七度莅临印度
n3984621,真相遍中原　中共防火墙挡不住
n3985822,一个八零后的心声
n3987412,法轮功给我健康身体　教我如何做好人
n3988146,诉江律师：西班牙器官移植法值得各国效仿
n3988276,西班牙律师谈诉江新进展和薄熙来案
n3990812,唐风：迫害善良引起公愤 中共颈上绞索再收紧
n3991701,本村家族成员会上十余人“三退”
n3992171,石铭：谁在维护《宪法》和法律与践踏《宪法》和法律
n3997671,河北涞水县政府官员的几点倡议和建议
n4000125,“三退”成中国游客的“新时尚”
n4000680,法轮大法福泽全家人
n4001826,悉尼集会声援一亿五千万中国人三退
n4003233,中共末日将到 三任国保大队长找退路
n4003816,我们一家七口亲身受益于大法
n4003814,信师信法　一路前行（下）
n4007416,中共安全局长遇“天使”退党
n4007425,大陆一看守所警察的“特殊使命”
n4013217,世人觉醒 传播真相
n4014929,九评9周年真相广传 大陆各界公开要求三退
n4017436,组图：大陆某地交通要道现真相标语
n4019305,鄂、赣2600民众签名呼吁无罪释放戴美霞
n4019391,中共活摘器官 国际人权律师：制止刻不容缓！
n4020167,法轮功免费教功班在德国小城受欢迎
n4022810,金融干部：从监控法轮功学员到走上真善忍修炼路
n4024672,诗歌：群起反迫害
n4033173,正义的声音将从这里升起和传播
n4034830,华人老太：今天才看清共产党从来没好过
n4035794,大陆不明真相者举报法轮功反被警察斥责
n4037674,大法洗心灵
n4039078,万分危急时刻想起大法好 人车保平安
n4039091,漫漫救夫路　感恩无数人
n4051075,保护法轮功学员得福报故事三则
n4051077,丈夫支持妻子修炼大法得福报
n4057628,加拿大外长致信 表示对法轮功遭受迫害关注
n4058358,秦皇岛16位法轮功学员仍被劫持　4984人签名呼吁释放
n4058369,律师为两位法轮功学员辩护　公诉人无言以对
n4058893,台湾交通部观光局：导游不得干预法轮功讲真相
n4063427,获奖绘画揭示值得关注的主题
n4063608,家属与大法弟子一起解体邪恶的艰辛历程
n4064477,李东生落马冲击警界 大陆警察：不当替罪羊
n4064994,河南五百人联名要求释放王矿生
n4070704,芬兰的反酷刑纪念日民众纷纷支持正义
n4071000,大陆警察人心巨变 接真相电话后唱歌送祝福
n4076046,无尽的感恩　永恒的希望
n4077656,新年之际 副师级军官退党
n4070046,警察告诉妻儿：今后不准参加中共的任何组织
n4081833,新年讲真相 政法官员:2年前就用真名退党了
n4092210,修炼前后
n4095818,张晓曦：呼吁无条件释放我爸 还我爸公道
n4096827,2014英国器官移植学会年会 DAFOH受关注
n4099323,警察：“回家好好炼！”
n4095478,替中共站台 芬兰华裔政客被逐出市议会小组委员会
n4103694,玉清心：再说大连“安锅案”
n4104503,意大利参议院通过决议 要求调查中共活摘罪行
n4106201,【历史今日】法轮功创始人获自由之家“团体宗教自由奖”
n4115096,四位律师及法轮功学员遭绑架引各界关注
n4117257,时平：正告建三江绑架案作恶者 审视你自身的处境
n4117975,炼功后 少女从濒临崩溃到获得新生
n4110675,葡萄牙主要电视台报导中共活摘器官暴行 震惊全国
n4116989,习近平访法国 法轮功集会吁法办江泽民
n4118551,习近平访德 多团体抗议中共人权劣迹
n4119638,【禁闻】建三江闹大了 滕彪：2014律师界该破题了
n4121077,建三江事件“公告”令民间前赴后继前往抗争
n4121253,建三江四律师被打 法轮功学员命危
n4121257,习近平访德 法轮功呼吁法办江泽民
n4125119,玉清心：廊坊签名要求停止迫害所彰显的民意
n4125842,河北廊坊142位民众签名反迫害
n4126409,修法轮大法　我告别家族病史
n4129581,建三江案 党刊奇文指责律师“死磕” 律师界高调反驳
n4130359,大陆的大律师们集体“反了”
n4131117,诗：送行王成律师一家离杭回楚
n4131144,四律师声明代理合法 要求查禁建三江黑监狱
n4133394,大山里的法轮大法弟子：感恩师父的保护
n4137495,【陈思敏】四．二五15年 法轮功屹立不倒中共倒
n4138000,老板说：你这样的人少哇！
n4143911,四律师24根肋骨换“洗脑班”解体
n4148404,加拿大麦迪森市市长褒奖法轮大法
n4153472,换婆婆
n4154535,明白真相后 民众为法轮功发声
n4154966,要不走的服务员
n4156887,纽约法轮功大游行震撼旅美华人 当场三退
n4158553,京、冀市民联名支持法轮功 斥中共谎言
n4159724,加拿大金斯顿市褒奖法轮大法日暨颂扬真善忍的原则
n4160236,餐馆里的“新唐人”
n4171134,唐山4700人签名谴责中共活摘器官罪行
n4175467,国际移植大会代表关注发生在中国的器官移植
n4175812,投书：坚持为信仰辩护 正义律师年检受阻
n4176305,明了“X教名单” 波兰华人当场三退
n4177523,中国百名律师抗议为法轮功辩护律师年检受阻
n4180789,大陆警察保护法轮功学员 各有各招
n4185927,起诉建三江公安 唐吉田吁关注洗脑班
n4186401,中共公安部官员海外机场“脱险”记
n4186810,悉尼最大城镇游行 法轮功天国乐团获冠军
n4189832,欧洲多国华人谴责中共罪行 纷纷三退
n4191813,欧洲旅游旺季变成大陆游客的“退党季”
n4200144,北英格兰健康展 法轮大法受关注
n4202667,纽约西人追寻学炼中国古老功法
n4205804,悼念720花莲各界吁中共停止迫害
n4210748,大陆游客：现在都时兴退党 不时兴入党了
n4211045,“签名救命” 澳洲法轮功学员征签制止中共活摘罪恶
n4220315,八名中国律师为法轮功辩护将再赴建三江
n4227109,大陆游客：法轮功真了不起！
n4228478,欧洲中使馆官员悄悄退党
n4241868,几句话道出“自焚”真相 劳教所警察惊呆
n4243055,巴厘岛导游：在“法轮大法好”这里集合
n4248685,澳七旬老人两度赴港 劝大陆游客“三退”
n4255734,大陆民众主动“三退” 打电话 交申请书
n4259141,新城：“再也找不到你这样的好人了”
n4262238,“站出来，为自己的亲人说句公道话”
n4291000,杜阳明：九评问世10年降妖除魔拯救生灵
n4293402,支持法轮功 新西兰毛利酋长问候王治文
n4305114,英国国会大厦内举办反对中共强摘器官研讨会
n4310735,大陆八千民众签名 谴责中共活摘器官罪行
n4313318,“我为什么要在乎?”-葛特曼谈《大屠杀》
n4314579,【历史今天】2,500家属上书国际社会揭劳教所暴行
n4317257,律师为法轮功案辩护被当庭带走 160律师发声明追责
n4320672,8律师突破重重封锁再进建三江 为法轮功做无罪辩护
n4321909,八律师拒绝建三江非法庭审 控公检法违法
n4322559,建三江非法控告法轮功案 律师揭中共身份定罪
n4322540,律师高智晟的故事在以色列传开
n4326474,柯文哲上任：法轮功学员若再被打 就撤分局长
n4327480,葛特曼盼柯文哲继续关注强摘器官
n4334885,2014年大陆各界声援法轮功反迫害事件回顾
n4336364,建三江法院向看守所下令禁会见 律师举横幅抗议
n4336903,建三江案秘密开庭 八律师被拒介入发抗议书
n4347238,建三江非法庭审法轮功学员 律师大规模提控告
n4348682,建三江案代理律师再被剥夺会见权 举牌控告
n4350083,玉清心：建三江，一边是火一边是水
n4351306,玉清心：“我退了” 成了新年吉祥话
n4354313,石铭：觉醒世人的正确选择
n4354656,飞剑：越来越多中国人选择声援善良
n4356449,致大庆市中级法院院长之律师紧急交涉备忘录
n4358389,沈阳居民：登方舟的梯子
n4360910,20多名欧议员再声援“建三江”法轮功学员
n4363089,大陆警察抓好人 仗义司机相救
n4363964,大陆律师为法轮功无罪辩护 公诉人无异议
n4363986,怕清算 三个派出所不愿沾手迫害法轮功案
n4368909,将功补过的大陆警察
n4373059,大纪元时报“老报童”感动捷克华人社区
n4379497,玉清心：建三江案风向为何突变？
n4379493,大陆民众恭贺李洪志大师元宵节快乐 盼洪传盛况再现中国
n4387960,石严：说说工资、反党和良心
n4390007,大陆游客加国观游行感受自由：海内外两重天
n4390950,警察和检察官的转变
n4392414,乡音：民意就这样被公开打压
n4394419,澳华裔议员拒中领馆要挟 力挺法轮功
n4396299,澳洲市议员：中共活摘器官骇人听闻
n4405913,德公：对法轮功的态度 大陆国外两重天
n4407934,澳洲主流电视台播纪录片《活摘》 各界震惊
n4410174,中共“活摘”暴行成澳洲媒体关注热门话题
n4411504,冀津2400人签名要求释放9名法轮功学员
n4411806,澳洲昆省政要谴责中共活摘器官
n4413903,悉尼民众积极反中共活摘 华裔：活摘器官太可耻
n4417950,欧议会研讨会 DAFOH代表：中国人在觉醒
n4417482,欧洲议会举办“中共活摘器官”国际研讨会
n4417978,欧议会议员：在行动上制止中共活摘
n4418452,欧洲理会官员呼吁中国加入反器官贩运公约
n4418008,澳洲珀斯华人踊跃签名制止中共活摘器官
n4418912,欧议会活摘研讨会上中共散播谎言被当众揭穿
n4420711,佚名：无罪辩护的正义之声遍神州
n4423892,悉尼政要强烈谴责中共活摘罪行
n4425442,英主流媒体和医学机构连续报导中共活摘罪行
n4425492,三言两语：我眼里的法轮功与中共
n4425681,陈思敏：从台北柯市长与严里长互呛说起
n4425789,【禁闻】“手印”遍中国 全民反迫害潮涌
n4426308,玉清心：经典！“610”是个什么玩意儿？
n4428692,新西兰外长屈从中共电邮曝光 国会议员谴责
n4428964,加拿大11座城市宣布5月13日为法轮大法日
n4428861,加拿大庆祝法轮大法传世23周年 15位议员到场祝贺
n4430459,法轮大法日 美国德州多位国会议员发贺信
n4430273,荷兰法轮功学员向泰国使馆递交呼吁书
n4431075,明德：江泽民纠集的“六一零”是个什么玩意儿？
n4431652,大陆人贺法轮大法日 法轮功应获诺贝尔奖
n4437682,中使馆官员公开争看大纪元成中餐馆一景
n4438030,国际社会谴责抵制这星球上最邪恶的罪行
n4438490,东欧中使馆派人观看神韵 鼓掌赞扬
n4439720,东欧中使馆官员给使馆前法轮功学员送水
n4441016,中领馆官员诉苦 经费减少“不知跟谁走”
n4441007,原江苏教育学院厅局级官员起诉江泽民
n4442789,东欧华人圈争看大纪元时报和新唐人电视
n4447235,玉清心：王宪淮二审后回家 迫害难以为继
n4448777,澳议员谴责中共特务假冒法轮功学员发恶意邮件
n4452913,河北、天津4300余人签名 要求释放法轮功学员
n4456239,韩国釜山港庆典 法轮功团体受欢迎
n4456922,周案宣判 加国议员呼吁尽速法办江泽民
n4457699,为法轮功学员辩护 律师：我的当事人无罪
n4458135,“功法太好了”加法轮功学员音乐艺术节上受好评
n4461666,对法轮功 看现在的警察怎么说？
n4463142,澳议员吁外长：会见麦塔斯 我将不胜感激
n4463583,澳洲公众呼吁外长关注中共活摘器官
n4464960,伦敦国际瑜伽日 民众踊跃学炼法轮功
n4465445,欧议会议员谴责中共越泰境迫害法轮功
n4466879,北京红手印事件主角获释 2800人签名营救
n4468867,VOA：美议员谴责中共摘取法轮功学员器官
n4468958,上海街委会书记说：“就该公审他！”
n4473658,悉尼商业电台介绍控告江泽民大潮
n4478996,澳洲天空新闻台专访 曝光中共活摘证据
n4480574,澳洲大学生：百分之百应该起诉江泽民
n4480581,澳洲维省议员：活摘器官报告令人震惊
n4482910,法轮功历程系列（上） 大陆洪传盛况
n4485823,国际人权机构创始人：立即停止对法轮功的迫害
n4496454,美国国会议员Joseph Crowley呼吁中共停止迫害法轮功
n4496776,艾菲尔铁塔下世界游客签名谴中共活摘器官
n4499295,泰国高院裁定法轮功注册合法 折射时局变化
n4504604,我们告诉未来：来源与使命
n4515202,德国媒体关注法轮功起诉江泽民
n4526649,美国明州大集市万人签名 谴责中共活摘器官
n4531356,德媒多次报导 “真善忍”美展成热门话题
n4531431,珀斯浪子想回头：我要修炼“真善忍”
n4531541,欧洲法轮功学员维也纳声援起诉江泽民
n4532130,前美智库研究员：中共持续大量强摘法轮功学员器官
n4533602,澳洲宝柔镇节庆 主持人呼吁签名制止活摘
n4533662,英国利物浦民众喜闻法轮功真相
n4534600,玉清心：天象大变 警察齐呼“法轮大法好”
n4536295,红尘中不随波逐流的大陆法轮功学员
n4539970,法轮功真相在英格兰传播 华人感谢送糕点
n4539096,悉尼知名作曲家呼吁制止中共迫害法轮功
n4544291,新片再揭中共活摘器官罪行 英国大报关注
n4544311,印尼三大城市征签　民众声援诉江大潮
n4551218,德国报纸整版报导法轮功奇女子的故事
n4553579,美媒报导：中国女子拒绝放弃信仰受迫害
n4553738,子华：核实诉江中 不同的选择
n4553880,美《先锋报》：因拒绝放弃信仰受迫害
n4556359,法国贵族后裔：由中共活摘器官联想到纳粹
n4556365,悉尼青苹果节“法轮大法好”花车获一等奖
n4556417,八旬老者见证的历史
n4557260,德媒： 多特蒙德市城市花园的打坐者
n4559915,律师为法轮功学员作无罪辩护 警察表敬意
n4561512,伦敦身心健康节 法轮功结缘四方
n4567062,澳洲各界专家观看《难以置信》纪录片
n4567953,罗马著名景点 民众声援法轮功学员反迫害
n4581654,澳洲人：要让更多人了解、制止“活摘”
n4586956,南澳圣诞花车游行 法轮功再受瞩目
n4591859,行动剧揭中共血腥迫害 台高雄民众声援诉江
n4591987,投书：张金库在呼兰监狱折磨致残 生命堪忧
n4592969,加拿大新总理会晤习近平 关注法轮功人权
n4593113,美国会举行世界人权日研讨会 关注中国
n4604431,休士顿中领馆前人们签名支持法轮功
n4623070,河北唐山四万多人举报江泽民
n4623595,乡党委书记开会时说：不许抓法轮功学员
n4052477,善良农妇被劫持四月 乡亲签名营救
n4628696,芬兰反酷刑纪念日 法轮功悼念活动肃穆祥和
n4631952,大陆九旬老人替法轮功说公道话
n4638274,四川巴中市1500位民众联署举报江泽民
n4649955,中共又失“一城” 美法庭裁决有助伸张正义
n4659553,西澳多元文化节 民众签名谴责中共活摘器官
n4665995,VOA：美众院外交委员会谴责中共强摘器官
n7467260,法轮功真相光盘大陆法庭上播放
n7480383,颂扬奉献精神 奥兰多市褒奖法轮大法日
n7520685,居委会书记和法轮功学员聊天：中共要倒台
n7540436,澳总理访华前 悉尼各界集会吁制止中共暴行
n7556248,中共器官移植黑幕在TEDx大会上曝光
n7684830,佛州塞巴斯申市祝贺法轮大法日
n7751873,“4.25”17年 佛州市长褒奖法轮功 宣布“法轮大法日”
n7883355,佛州Weston市政要颂扬真善忍 祝贺“法轮大法日”
n7883538,佛州梅特兰市祝贺“法轮大法日”
n7889964,佛州那不勒斯市长鼓励所有公民炼习法轮功
n7890262,佛州墨尔本市赞法轮功崇高道德标准 发褒奖令
n7889854,佛州布劳沃德郡长及郡委员会感谢法轮大法
n7890313,美佛州政要祝贺法轮大法日 鼓励市民学炼
n7893295,国际人权协会理事：请站在历史正确的一边
n7915115,纽约州参议员等103位官员褒奖贺信法轮大法
n7920418,美国佛州戴通纳海滩宣布法轮大法日
n7934049,德国吕嫩市文化节 法轮功团体获奖
n7934280,英国人在伦敦市中心得真相 支持法轮功
n7946757,澳洲黑镇文化节 议员赞法轮功美好又正气
n7950082,加拿大萨省政要祝贺法轮大法弘传24周年
n7950208,美佛州南代托纳市颂扬真善忍 贺法轮大法日
n7961607,芬兰世界村文化节 游客排队签名支持法轮功
n7963098,街头偶遇促机缘 伦敦名校少年课堂讲法轮功
n7967190,大陆综治办主任：我佩服你们法轮功学员
n7971046,观加国游行喜见法轮功 华人拍全程传回大陆
n7971605,资深电影人：加拿大欢迎法轮大法
n7978661,巴黎人权广场上 中西游客支持法轮功反迫害
n8001986,美国波特兰市玫瑰节星光游行 法轮功再获奖
n8023211,英国“大宪章贵族”陪法轮功学员打坐
n8025840,大陆律师代理法轮功案的收获
n8039207,2016德国法兰克福多元文化节 法轮功展风采
n8046144,意大利青年：法轮功是世界的财富
n8049971,瑞士36政要联名致信联合国敦促控告江泽民
n8072989,近三百北京怀柔乡亲联署 呼吁释放好人回家
n8056258,【细语人生】骑向自由的小天使们（下）
n8089090,中国游客：应该法办江泽民
n8093276,加拿大牛仔节 法轮功团体获赞誉
n8104316,美议员：停止迫害法轮功 中国美好未来将到来
n8113015,融入东方智慧 西人健康顾问获提振
n8120466,加拿大安省节日游行 法轮功团体受欢迎
n8120477,悉尼繁华商业区中法轮功真相受关注
n8120542,奥克兰华人：“中共非常邪 必须得退！”
n8127905,英国会大厦前揭中共暴行 议员民众签名支持
n8153463,一位站在美国国会山前的中国女士的心愿
n8159558,【禁闻】粤法院患“张赞宁恐惧症” 怕什么？
n8177969,三位山东人所经历的一场奇怪法庭审判
n8175736,刘连贺律师：为法轮功辩护的心路历程 (上)
n8189197,美国会中国委员会主席：让王治文来美团聚
n8189162,美政府专员：中共当迅速签发王治文护照
n8189030,美报告谴责中共迫害法轮功等团体 关注王治文
n8192252,美国务院要求中共允许王治文自由旅行
n8185119,刘连贺律师：为法轮功辩护的心路历程 (下)
n8214188,巴黎的大陆游客：法轮功是真正的爱国
n8214054,国际特赦加拿大分部主席呼吁关注王治文
n8226595,印度东北部二千多学生学炼法轮功
n8233830,英国逾万人反活摘签名 促首相发声声援
n8237374,王治文在北京受到24小时严密监控
n8255693,外媒：历经17年迫害 法轮功学员挺过来了
n8262352,寒夜中有温暖 老夫妇守在天津监狱外3昼夜
n8288462,美国大学开设介绍法轮功的专门课程
n8296716,明尼苏达州大集近1万6千人签名反中共活摘器官
n8303541,大陆百姓恭祝法轮功创始人中秋快乐
n8311522,西英格兰大学招新会 百余人加入法轮功社团
n8315816,周向阳夫妇案开庭 天津东丽法院现场直击
n8350910,河北秦皇岛新增4千多人举报江泽民
n8355207,美国会议员致信习近平 营救佛州居民的母亲
n8356879,关注周向阳 美吁释放所有被关押法轮功学员
n8359355,原中共军校教官遭庭审 律师：诉江无罪
n8361849,东北逾百民众签名吁释放法轮功学员郑文才
n8376644,美国点名中共公安部门注销王治文护照
n8377469,为何美国政府关注大陆法学教授张赞宁？
n8386718,墨西哥法轮功学员在当地大学里教授功法
n8395324,原河北邯郸公安局副处长要求重审敏感案件
n8395592,北京律师董前勇控告河北地方法院法官违法
n8409858,现场直击：英国下议院辩论中共“活摘”
n8425480,组图：独特风景线 法轮功金门大桥游行传真相
