n11136687,曾遭打毒针 成都法轮功学员何友华被迫害离世
n11640201,河北法轮功学员邢武强已含冤离世多年
n11642317,中国90后年轻人的希望与绝望
n11641975,辽宁女监摧残六旬老人 冬天往身上浇冷水
n11642391,四川“610”用人脸识别监控法轮功学员
n11645045,7年先进工作者 法轮功学员朱本富被迫害死
n11645575,法轮功学员刘宏伟冤狱13年期满 下落不明
n11647968,遭看守所迫害 器官衰竭 法轮功学员胡林命危
n11635511,由活猪撞击试验看“脑干撞击机”的罪恶
n11648855,坚守信仰 七旬老太沈惠定三次被非法判刑
n11648565,武汉黄陂法轮功学员彭望琴在迫害中离世
n11648466,76岁法轮功学员李钢被劫入辽宁女监
n11651030,从百人围观九岁儿童被打死说起
n11653135,有口皆碑的好市民 法轮功学员凌建民遭构陷
n11653410,近期四川法轮功学员遭迫害概况
n11655457,冤狱酷刑 颠沛流离 法轮功学员邓莉的遭遇
n11655915,冤狱15年 法轮功学员何莲春再遭非法批捕
n11657738,数学公式的骗局 中共伪造人体器官捐献数字
n11657886,遭中共残害致死的十五位医护人员（上）
n11658625,上海外企医学高管李福军被构陷 遭非法逮捕
n11658848,辽宁抚顺市看守所的八条人命案
n11660745,明慧网恶人榜更新 公布十万人名单
n11658507,福建省福清监狱攻坚组 残酷折磨法轮功学员
n11661045,法轮功学员杨立华在黑龙江女监被迫害致死
n11661113,北京法轮功学员程小富被河北女监迫害致疯
n11661540,九评问世15载 3亿4千万民众抛弃中共
n11666088,9月底 武汉40名法轮功学员遭警察突击绑架
n11669248,英文报告“法轮功在中国被迫害20年”将发行
n11669316,福布斯：掩盖活摘器官 中共伪造器官捐赠数据
n11669715,追查国际追查中共雇凶破坏港大纪元印刷厂
n11671359,10年冤狱 科技人才时绍平遭绑架 下落不明
n11671589,山东七旬法轮功学员王宪学被迫害离世
n11672188,年轻妈妈在哈尔滨女监离奇死亡 乡亲诉冤
n11673690,10月份 至少274名法轮功学员被非法抓捕
n11674043,79岁法轮功学员冯春英面临被强制入狱
n11674280,遭非法庭审 4名法轮功学员及律师做无罪辩护
n11671570,中共迫害法轮功学员案例 强行拆散家庭
n11677100,法轮功学员陈玉花被山东女子监狱迫害致死
n11677463,9年冤狱折磨 法轮功学员徐天福被迫害离世
n11677645,瘫痪3年 农妇修法轮功康复 却遭中共迫害死
n11679927,7项发明专利 一位女高级工程师的20年遭遇
n11677229,冤狱10年 陕西优秀教师佘程邦含冤离世
n11682675,山东泰安政协前副主席谭业刚被判15年徒刑
n11682866,省公安厅操控 哈尔滨铁路警参与两起绑架大案
n11682892,发法轮功真相资料 辽宁马凤菊遭警察暴打
n11685054,明慧网土耳其语网站正式开通
n11685383,14年冤狱将到期 西藏赵隆志夫妇安全受关注
n11684991,法轮功学员魏起山在秦皇岛看守所被迫害死
n11692305,中共注射不明药物致死的北京法轮功学员
n11692949,吉林榆树政法委副书记610主任王帅被举报
n11693346,五眼联盟接新恶人名单 震慑中共人权迫害者
n11687069,黑龙江公安厅前副厅长赵春波跳楼身亡
n11695376,法轮功学员董月孝含冤离世 姜世胜遭冤判3年
n11689562,曾出资28万元为家乡修路 上海邓成联陷冤狱
n11695972,送辩护词遭枉判3年 辽宁孔繁校冤狱期满回家
n11697993,十万名单 恶行记录在案 劝君别上恶人榜
n11697477,法轮功学员何立芳被虐杀 疑被活摘器官
n11699194,记内蒙古法轮功学员在黑龙江电视插播
n11700166,79岁法轮功学员韩俊毅 遭国保抄家绑架
n11700732,承德公安绑架34名法轮功学员 13人遭构陷
n11700995,法轮功学员王德臣 遭呼兰监狱迫害致死
n11700918,广东八旬法轮功学员林作英面临非法庭审
n11700408,公主岭新生监狱电刑“约束带”害法轮功学员
n11703462,送子上学途中遭绑架 哈尔滨母亲被判刑4年
n11703607,白马垄劳教所药物迫害 法轮功学员被致疯
n11700975,遭沙洋范家台监狱迫害 法轮功学员李大尧离世
n11705480,哈尔滨阿城区前政法委书记王云飞被举报
n11703448,夏威夷大游行 法轮功队伍首次亮相受欢迎
n11705837,法官称赞的好人 法轮功学员李贺芹身陷囹圄
n11706176,王友群：海外“侨领”应以黄克锵为戒
n11704241,北京法轮功学员韩非遭绑架 女儿吁国际营救
n11709028,了解法轮功真相 民众喝止男子行恶
n11707166,纽约亲共侨领黄克锵病亡 一头衔不敢提
n11710827,冤狱10年 哈尔滨法轮功学员王江被迫害离世
n11708293,11月份 至少49名法轮功学员被非法判刑
n11713112,程晓容：国际社会应关注最大的人权灾难
n11711400,国际人权日 看中共迫害法轮功至今仍惨烈
n11713536,淄博公安局张南分局前610主任罗忠被举报
n11708713,揭内蒙古莫旗看守所恶行 酷刑迫害法轮功
n11714077,甘肃省前610主任庞波被举报到海外
n11716553,黑警锯门相逼 法轮功学员李艳杰被迫跳楼逃生遇难
n11718180,11月份 至少325名法轮功学员遭绑架
n11715883,中共“奴工”买卖的罪恶（1）
n11721891,深圳宝安发生多起骚扰法轮功学员事件
n11722767,中科院迫害法轮功修炼者 多人疑被药物致死
n11724303,辽宁法轮功学员徐传德多年前被迫害离世
n11724338,河北遵化 12名法轮功学员面临非法庭审
n11726385,武汉78岁法轮功学员汪文清面临非法起诉
n11725904,新闻传媒界法轮功学员遭中共迫害综述（上）
n11730369,累陷冤狱8年 法轮功学员王怀富遭迫害离世
n11716148,中共“奴工”买卖的罪恶（2）
n11732974,告诉人真相 法轮功学员丁宝云面临非法庭审
n11733542,律师：为法轮功学员做无罪辩护没有错
n11738464,内蒙古赤峰至少31名法轮功学员身陷囹圄
n11738747,密山市委前副书记李连春回国投案 被起诉
n11733119,新闻传媒界法轮功学员遭中共迫害综述（下）
n11740279,冤狱4年再遭迫害 长沙法轮功学员罗丹离世
n11740664,法轮功学员孙凤华遭绑架命危 数月后离世
n11741100,人权问责法效应 中共迫害者被举报到海外
n11742729,曾遭40种酷刑 医生伍群再被劫入永川监狱
n11745201,冤狱酷刑 株连迫害 法轮功学员付金凤的遭遇
n11744864,法轮功学员沈子力生前遭受的经济迫害
n11746496,九位老人一起读法轮功著作 被构陷到检察院
n11746872,控告江泽民  山东壁挂厂长田世洪遭迫害离世
n11743793,【独家】大陆医生亲历不寻常器官移植手术（上）
n11747235,甘肃庆阳市法轮功学员被迫害情况综述（上）
n11751457,曾陷冤狱7年 法轮功学员赵吉元再遭冤判
n11748971,北京女子劳教所前所长李继荣的罪行
n11749398,甘肃庆阳市法轮功学员被迫害情况综述（中）
n11758889,黑龙江男子病重仍遭非法拘留 9天后病亡
n11762641,法轮功学员杨胜军被迫害致死 律师举报控告
n11765978,北京法轮功学员 认证专家侯俊文遭迫害离世
n11738876,被打残 辽宁法轮功学员李亚君再遭迫害
n11751497,法轮功学员柳德玉遭范家台监狱迫害致肺结核
n11751179,安徽合肥三位医护人员经历的残酷迫害
n11769986,【2019盘点】中共对法轮功学员残酷迫害
n11774971,四川八名法轮功学员遭冤判 法院欺瞒家人
n11779645,2019年 近万名法轮功学员被绑架骚扰
n11780459,黑龙江法轮功学员王德海被迫害离世
n11784637,任世豪：中共法律丑闻又一桩
n11782305,山东法轮功学员李长芳被害死 遗体遭抢
n11787667,哈尔滨法轮功学员刘淑梅生前遭受的迫害
n11792673,南昌十多名法轮功学员遭中共非法判刑
n11792971,天津石化公司迫害法轮功者遭厄运
n11795110,四川法轮功学员梁勤淮含冤离世
n11793247,山东招远610副主任宋少昌被举报到海外
n11795369,参与迫害法轮功 2019年529人被曝遭厄运
n11798549,原北京师范大学研究生陶渊  陷冤狱遭迫害
n11797867,2019年 遭中共迫害的社会精英人士
n11799968,俞晓薇：韩国和大陆法轮功学员境遇两重天
n11798865,甘肃庆阳市委党校副校长李光照被举报
n11803218,金玉红遭酷刑 黑龙江610阻律师会见
n11804768,黑龙江法轮功学员孟宪荣含冤离世
n11804926,曾遭冤狱8年 法轮功学员席栓省被迫害致死
n11807577,2019年 吉林省法轮功学员遭迫害综述
n11807920,新疆库尔勒原空军军官王福军夫妻的遭遇
n11808152,辽宁女子监狱李文博迫害法轮功学员的恶行
n11683062,遭中共残害致死的十五位医护人员（下）
n11813238,十九年前的“伪火”不攻自破的世纪谎言
n11813096,2019年 遭中共迫害的老年法轮功学员（1）
n11823380,2019年 遭中共迫害的老年法轮功学员（2） 
n11832740,大年期间 120名大连法轮功学员被非法关押
n11834949,山东平度与人为善的母亲被非法关押4月余
n11839335,2019年 黑龙江牡丹江法轮功学员遭迫害综述
n11841492,遭迫害休克 法轮功学员宫凤强被关隔离病房
n11841986,20年颠沛流离 法轮功学员付景华含冤离世
n11844088,广东法轮功学员陈萍珍遭冤判5年 下落不明
n11845215,《求救信》主人公离奇身亡 观众质疑死因
n11844582,原万家劳教所 狱警赵余庆姚福昌的暴虐行径
n11849574,2019年 吉林榆树市法轮功学员遭迫害综述
n11853979,遭刑讯逼供命危 法轮功学员于占华流离失所
n11854172,广东汕尾城区公安局国保警察钟伟成被举报
n11858478,妻遭酷刑迫害 丈夫举报遭恐吓 证据被抢
n11855720,新年前后 近200名法轮功学员被非法判刑
n11856276,辽宁女子监狱一监区殴打体罚法轮功学员
n11860941,新年期间 651名法轮功学员遭绑架骚扰
n11863405,吉林铁路工程师 法轮功学员张朝彬遭非法判刑
n11864109,律师辩护受阻 同江5法轮功学员遭非法庭审
n11863707,被失踪一年半 法轮功学员唐敏遭冤狱迫害
n11846618,中国朝鲜族法轮功学员被迫害20年综述
n11866766,湖北汉口监狱迫害法轮功学员 阻律师会面
n11830056,2019年 遭中共迫害的老年法轮功学员（3） 
n11858807,2019年 宁夏法轮功学员遭迫害概述
n11869217,法轮功学员传避灾的真相 遭警察诬陷迫害
n11873018,优秀校长 法轮功学员李桂荣被辽宁女监害死
n11873496,法轮功学员李长芳因手术致死 疑遭活摘器官
n11875621,郑一见：从自焚谎言到武汉封城
n11875239,法轮功学员吴秀芳被辽宁女监迫害致死
n11878007,女教师自述遭宁夏女子监狱“转化”经历
n11877210,遭6年冤狱 原中校军官杨万明将出狱
n11877671,坚守信仰 大连二十多位古稀老人仍身陷囹圄
n11880716,半夜声称“测体温”桂林警察绑架法轮功学员
n11881030,长春十多位法轮功学员被警察劫持半年多
n11873180,法轮功学员范文秀遭迫害致病重 含冤离世
n11689892,政府公务员因修炼法轮功遭迫害致死综述（4）
n11883678,中共基层官员的厄运 曾迫害法轮功
n11886170,黑龙江女监给法轮功学员李英菊饭菜下毒
n11888407,航空工程师胡林遭沈阳康家山监狱迫害死
n11892086,锦州法轮功学员张振才被大连监狱迫害致死
n11883051,医疗行业法轮功学员被迫害致死案例（上）
n11892230,甘肃女子监狱副狱长朱鸿的恶行
n11894617,黑龙江省法轮功学员李秀芹被迫害致死
n11895392,台湾大学校园 法轮功社团传真相
n11885508,医疗行业法轮功学员被迫害致死案例（下）
n11897403,2019年 遭中共迫害的武汉法轮功学员
n11897965,法轮功学员王翠英赵爱真遭构陷 法院退卷
n11898252,揭原江西省女子劳教所副所长邓俭的暴行
n11900714,2019年 遭中共迫害的上海法轮功学员
n11902661,大疫下 湖北监狱非法延期关押法轮功学员
n11903296,一个月内 至少六位法轮功学员被中共迫害死
n11903199,2019年 黑龙江鸡西市法轮功学员遭迫害情况
n11906047,法轮功学员于永满在辽阳看守所离奇死亡
n11902878,两年间 山东潍坊市法轮功学员遭受的迫害
n11907214,四川七名法轮功学员及家属被构陷到法院
n11907003,20多年 太原理工大学八旬教师的苦难
n11907366,山东政法委610对法轮功学员的经济迫害
n11910262,明目张胆 中共抢劫法轮功学员私人财物和现金
n11910148,传播真善忍 保定三名法轮功学员遭非法判刑
n11907497,三年间 辽宁凤城市法轮功学员遭迫害概况
n11914283,14年冤狱 哈尔滨法轮功学员商贵民含冤离世
n11889606,长春电视插播 遭中共残酷迫害的法轮功学员（上）
n11914767,黑夜中的烛光——纪念长春插播真相
n11915623,中共最短命的副市长 刘建武所涉迫害案例
n11900218,长春电视插播 惨遭中共迫害的法轮功学员（下）
n11911958,诬判法轮功学员 昆明中院法官张兆龙上恶人榜
n11917733,2019年追查国际对中共活摘人体器官调查
n11917920,曾活着被送火化炉 湖北女教师凄惨离世
n11919729,2019年 哈尔滨法轮功学员遭中共迫害简述
n11920358,兰州市第一看守所四队队长刘润庆猝死
n11924666,2019年 邯郸法轮功学员遭迫害情况简述
n11926962,1月至2月 51名法轮功学员遭中共非法判刑
n11927520,兰州城关区法院刑庭副庭长刘冬郁的恶行
n11929630,遭冤狱迫害丧失意识 法轮功学员林桂芝离世
n11929991,斯洛伐克各界人士谴责中共迫害法轮功
n11930322,原江西省女子劳教所所长宋波被举报
n11932683,贵州插播真相 法轮功学员惨遭中共迫害（上）
n11937879,榆树市85岁法轮功学员徐景超被劫入狱
n11935225,残酷迫害法轮功学员的武汉第一看守所
n11936074,河北省女子劳教所 抹不掉的罪恶
n11941295,2月份 中共至少绑架282名法轮功学员
n11941963,遭冤狱10年致残 法轮功学员肖美君离世
n11942100,反对中共迫害 瑞典国会议员也学炼法轮功
n11942387,秦皇岛法轮功学员马桂兰被迫害死的更多信息
n11944945,七旬法轮功学员遭构陷 法院裁定中止审理
n11945479,政界名流：为什么全球医疗机构要信中共？
n11947304,视频：工程师胡林被沈阳康家山监狱迫害死
n11944344,原中国建行支行工程监理赵锋慧遭迫害经历
n11947709,山东法轮功学员朱同贵被秘密冤判重刑
n11947937,辽宁法官郭薇薇诬判多名法轮功学员
n11949699,武汉法轮功学员邹双武吴桂菊被构陷到法院
n11950300,河北张家口桥东法院审判长李武生被举报
n11924922,三年内 吉林德惠市政法委610犯罪事实综述
n11955211,美大学刊文 吁清除中共对法轮功诽谤
n11954617,全家被迫害 法轮功学员张燕遭冤狱折磨离世
n11955363,长沙法轮功学员刘富纯杨文被构陷到法院
n11958647,武汉新洲法轮功学员冤狱刑满后 去向不明
n11963450,冤判9年 辽宁法轮功学员于飞被迫害离世
n11963331,航空工程师胡林生前自述遭受中共的迫害
n11963674,法轮功学员陈孝民三兄弟遭中共迫害致死
n11962214,除了中共病毒 中共还在哪些问题上撒谎（2）
n11966631,山东省审计厅副厅长李宁被举报
n11967530,揭秘中共活摘器官“纵向证据链”
n11970622,河北张家口市桥东区副区长贾丽云被举报
n11973502,疫情间 河北下花园区委企图迫害法轮功学员
n11971035,传避瘟疫良方 法轮功学员遭中共绑架
n11937963,中共“细菌疗法”致法轮功学员死亡
n11976977,宁夏永宁县9位法轮功学员被构陷到检察院
n11977455,浙江永康3名法轮功学员被非法判刑和批捕
n11977136,广东福建抽调大量警察进入武汉女子监狱
n11957690,一天绑架42人 吉林市公安局长刘磊被举报
n11977814,中共触目惊心的经济掠夺（1）
n11983686,检察院多次退卷 长春十多位法轮功学员仍被关
n11980933,2019年 云南昆明法轮功学员遭迫害综述
n11980471,中共触目惊心的经济掠夺（2）
n11985367,13年冤狱惨遭折磨 原营职军医赵成林离世
n11986358,大疫下 政法委下令迫害法轮功 骚扰绑架多人
n11988132,长期遭中共摧残 四川法轮功学员杨跃富离世
n11989695,起诉云南社保局 云大职工养老金被停发
n11988971,南京“610”对八九旬法轮功学员也不放过
n11992325,冤狱11年 法轮功学员韩震昆再面临非法起诉
n11994819,绑架殴打法轮功学员 成都警察谭铮罪行
n11997821,觅真：清明将至 沉冤昭雪必有时
n12000433,法轮功学员肖永芬监狱中离世 死因疑点重重
n12000866,冤狱10年 法轮功学员宋彦群鸣冤再陷囹圄
n11992716,中共触目惊心的经济掠夺（3）
n12001141,坚持信仰 法轮功学员于桂荣遭黑龙江女监虐待
n12004805,控告江泽民 辽宁农妇遭冤判 女儿被恐吓致疯
n12005253,瘟疫中 大陆各地警察骚扰绑架法轮功学员
n12010703,1至3月疫情下 至少70名法轮功学员遭冤判
n11998537,致疯致残 天津警察摧残法轮功学员案例
n12011270,84岁法轮功学员被迫害致中风 仍陷冤狱
n12011886,【独家】哈市610年收入20万 小金库千万
n12014273,1月至3月 辽宁八位法轮功学员被迫害致死
n12017269,法轮功学员吴珮文遭中共迫害离世
n12017652,唐山法轮功学员韩子军一家遭绑架 仍被关押
n12019407,武汉母子被虐杀 一家五口遭迫害（上）
n12024074,副省长坐镇 火化28岁还有体温的她
n12024335,3月份 疫情下747名法轮功学员遭绑架骚扰
n12007810,两亲人遭迫害致死 山东农妇再遭绑架
n12023895,【独家】内部文件泄610超级权力未终止
n12019707,武汉母子被虐杀 一家五口遭迫害（下）
n12026769,大疫期间 大陆各地法轮功学员传真相遭绑架
n12025063,法轮功学员于占华被迫流离失所 丈夫遭威逼
n12029467,辽宁高中英语女教师李凤美悲惨离世
n12031979,【独家】北京房山政法委不见光的维稳费
n11995732,中共触目惊心的经济掠夺（4）
n12039532,74天内 至少17名法轮功学员遭迫害离世
n12051919,为营救丈夫 唐山市周秀珍被迫害离世
n12052774,“4·25”后 江泽民在云南煽动迫害法轮功
n12057582,石铭：疫情之下中共仍在迫害虐杀善良民众
n12058565,大疫下 当年4.25带给人们什么启示
n12059166,丈夫被毒打身亡 女教师告元凶遭诬判7年（上）
n12064536,因送新年台历 法轮功学员兰立华遭迫害离世
n12064797,红色恐怖下 佳木斯铝厂一对老夫妇的不幸
n12067447,狱中浪子回头 修炼真善忍遭迫害
n12063585,【独家】中共借政治考核迫害法轮功
n12059303,丈夫被毒打身亡 女教师告元凶遭诬判7年（下）
n12068001,近两月 大陆多地法轮功学员遭警察绑架骚扰
n12070397,疫情下全球追责 中共还面临另一大清算
n12072622,吉林法轮功学员孙志文被非法关押
n12069686,中共触目惊心的经济掠夺（5）
n12045273,【独家】武汉同济医院文件曝活摘罪恶
n12073579,监控骚扰 一普通妇女受中共打压的遭遇
n12070903,中共触目惊心的经济掠夺（6）
n12075559,被查的河北前副省长张和 涉鲜为人知命案
n12027127,疫情下中共再办洗脑班 迫害法轮功学员
n12079515,贵州政法委“清零行动” 欲彻底转化法轮功
n12079888,“我要爸爸妈妈”贵州12岁儿哭喊离世
n12076321,四川什邡市政法委员何渝恶行 海外曝光
n12082308,云南监狱药物摧残 法轮功学员被致死致疯
n12084278,武汉公安局长李义龙 610主任殷玉梅被举报
n12087370,1至4月疫情间 至少89名法轮功学员遭冤判
n12085058,近两月 吉林榆树众多法轮功学员遭绑架骚扰
n12088006,疫情间 北京法轮功学员张芳夫妇被绑架抄家
n12089998,高艳尸骨未寒 其丈夫和女儿遭北京国保绑架
n12091840,【纪元播报】加国议员：大瘟疫催生追责中共浪潮
n12089565,【纪元播报】独家：中共对法轮功全方位的迫害系统
n12112573,安徽七旬法轮功学员刘发庭被迫害离世
n12118094,4月 至少1178名法轮功学员遭绑架骚扰
n12123517,仅3天 河南法轮功学员张志温在看守所被害死
n12123799,吉林法轮功学员王国珍在中共迫害中离世
n12126754,甘肃兰州市城关区610主任高丽娜被举报
n12127320,白宫最新战略报告 批评中共迫害法轮功
n12126219,5月13日 至少51名法轮功学员被绑架骚扰
n12128980,法国DAFOH电视会议 抵制中共强摘器官
n12093584,武汉大学“文人打手”对法轮功学员的迫害
n12127951,【内幕】王敬军审建三江案 头痛几近昏迷
n12032854,范士荣医生被劫持到看守所 八旬父母担忧
n12033835,河北一家五口人冤死的悲剧（上）
n12129245,贵阳市警察骚扰八九旬法轮功学员
n12132729,云南大学副教授陈新文博士遭冤判1年半
n12133086,4月份疫情间 中共监狱看守所迫害案例
n12134894,13年冤狱 法轮功学员刘宏伟坐着轮椅出狱
n12137335,湖南新晃县原政保股股长吴祖坤死于中共病毒
n12137630,冤狱 法轮功学员刘宏伟的13年艰难岁月
n12139393,【纪元播报】独家：武汉同济医院文件曝器官移植秘密
n12135844,孝顺儿子媳妇遭关押 78岁母亲公开信营救
n12140299,曾被周永康点名迫害 黄敏冤死内幕曝光
n12139935,山西78岁法轮功学员宫国卿遭绑架
n12141215,成都市金牛区检察院副检察长朱昆被举报
n12143169,湖北钟祥13人遭恶运 都曾积极迫害法轮功
n12144256,哈尔滨法轮功学员绑架案 省公安厅幕后操控
n12146024,长春市十多位法轮功学员被构陷到法院
n12147250,38军退伍军人传国家文件 为何令610恐慌
n12146171,黑龙江安达市看守所酷刑折磨人的手段
n12150323,610操控 苏州老太刚结束1年冤狱再被构陷
n12149532,重庆退伍老兵游历阴曹地府 见到阎王爷
n12152392,河北邯郸 遭中共迫害致死致疯的法轮功学员
n12152992,一月至五月 遭中共迫害的中国社会精英
n12155605,河北省公安厅官员恶告 法轮功学员遭冤判8年
n12150090,赵乐际训斥地方官 泄露“610”一秘密
n12160810,1月至5月 至少27名法轮功学员被迫害致死
n12162527,20年前一条全国假新闻 看中共如何炮制的
n12161574,集中营 大数据监控 新疆法轮功学员的遭遇
n12167904,大连71岁法轮功学员宋淑春在迫害中离世
n12163891,河北涞水县66岁残疾人遭警察入室绑架
n12158362,只因寄劝善信 法轮功学员靳利国遭非法庭审
n12170362,1至5月 至少107名法轮功学员遭冤判
n12170906,山东法轮功学员王锡乐遭药物摧残失忆
n12172546,绵阳市中级法院前院长 检察院副检察长被查
n12173324,福克斯报导法轮功受迫害专题 获艾美奖提名
n12164238,山东七旬夫妇二十年来的悲苦
n12172816,吉林疫灾区舒兰为何成为“第二个武汉”
n12175695,搪塞西方社会 撤并后的“610”一直在作恶
n12178171,法轮功学员段小燕在甘肃女监遭非人迫害
n12178729,迫害法轮功细则 河北沧州政法委加密文件曝光
n12181205,长春一桩悬案 遗体存尸检中心16年
n12181650,“判刑10年罚10万”美关注法轮功受迫害
n12181769,被冤判7年半 山东前高炮师副参谋长提申诉
n12181921,美驻华使馆刊登蓬佩奥讲话 含中共敏感词
n12183067,中共两会前下令 近千法轮功学员遭抓捕骚扰
n12184419,香港法轮功学员担忧国安法或威胁宗教自由
n12180330,受尽折磨 哈尔滨法轮功学员万云龙含冤离世
n12184666,儿子被冤判 八旬老母遭警察骚扰离世
n12186703,疫情下 四川“610”闯民宅肆意蒐查抢劫
n12187251,风华正茂陷冤狱 哈医大原主治医生再遭绑架
n12192241,21年苦难 佳木斯法轮功学员周淑杰离世
n12189334,云南24个社会精英家庭的悲苦遭遇
n12195250,颠沛流离 河北法轮功学员路进友被迫害离世
n12198985,退休司法女警崔会芳申诉 讲述法轮功好
n12203870,佳木斯八旬老太陷冤狱 瘫痪老伴孤独离世
n12206281,山东法轮功学员孟庆梅遭济南女监迫害离世
n12204880,【中共百种酷刑】狼牙棒
n12206539,遭非法监居多年 潍坊法轮功学员陈恩才离世
n12209162,唐山30多法轮功学员遭绑架 韩玉芹被害死
n12209591,酷刑 奴工 江西女子监狱折磨人的十种手段
n12212777,比利时联邦参议院决议 谴责中共活摘器官
n12211584,遭野蛮灌食 七旬法轮功学员肖根祥的冤狱之苦
n12213802,南京退休一级警督 法轮功学员程兰的遭遇
n12214315,控告办案人违法 法轮功学员朱素荣家人遭报复
n12217262,法轮功学员王殿国冤死大连监狱 遗体被禁看
n12219873,遭610迫害 青海法轮功学员唐发帮已离世多年
n12221926,老教授向西南医科大讨要9年退休金 遭驱赶
n12224379,唐山法轮功学员韩玉芹遭绑架 当天被迫害死
n12225582,10年冤狱 上海工程师张勤再面临非法庭审
n12225823,孙茜被迫弃加籍 前司法部长：她仍是加公民
n12217508,信仰真善忍 黑龙江董林桂冤狱12载九死一生
n12204461,大连近两百人遭厄运 都曾迫害法轮功（2）
n12227232,绑架——中共犯罪集团罪恶的见证
n12228049,法轮功学员初立文 法院两次退卷 国保不放人
n12229828,上半年 至少132名法轮功学员遭中共冤判
n12230577,11年冤狱 法轮功学员马智武再遭非法批捕
n12233897,唐山法轮功学员曹进兴被冀东监狱迫害死
n12234341,新疆石河子市“职业技术培训学校”的罪恶
n12234088,广东汕头法轮功学员李荣丰被迫害离世
n12236041,“真善忍好”冲散疫情中的恐惧和烦恼
n12236415,酷刑 洗脑 奴工 北京女子监狱的恶行
n12238617,中纪委书记赵乐际操纵政法委 迫害法轮功
n12241087,黑龙江法轮功学员王淑坤遭毒打 含冤离世
n12241411,宁夏永宁县八位法轮功学员面临非法庭审
n12242297,前加司法部长：中共重判孙茜 将无辜定有罪
n12242651,马振宇苏州监狱遭酷刑 美议员：愿助营救
n12241991,起诉江泽民 法轮功学员占庆荣被枉刑3年
n12245205,陈全国被美制裁 制造多少惨案鲜为人知？
n12243713,控告江泽民 法轮功学员李国俊遭迫害离世
n12244557,河北东光县原610主任胡朝华遭厄运死亡
n12246105,参与暴力洗脑 湖北大学充当“打手”的教授
n12246586,广西崇左市“610”煽动民众仇视法轮功
n12250240,假借“反恐” 新疆警察绑架法轮功学员邓翠兰
n12239048,离奇死亡 家人诉述法轮功学员权忠浩遇害
n12128696,昆明耄耋老人杨能文夫妇遭绑架骚扰
n12254635,上半年 至少5313名法轮功学员被绑架骚扰
n12116077,中共触目惊心的经济掠夺（7）
n12255634,越南藏尸案 审讯记录显示中共抹黑法轮功
n12261808,逃离中国 法轮功学员王东曝中共酷刑迫害
n12261878,越南藏尸案 律师受访证实中共抹黑法轮功
n12264411,外媒：越南藏尸案 中共假新闻中伤法轮功
n12260295,上半年 至少39名法轮功学员被中共害死（1）
n12265005,优秀教师揭中共造假 9年冤狱亲见迫害命案
n12267647,遭冤狱9年 法轮功学员刘庆香再被非法关押
n12261366,上半年 39名法轮功学员被迫害致死（2）
n12282120,北京画家许那被绑架 在北京看守所绝食
n12283790,摄像头监控 北京法轮功学员梁新被绑架
n12286814,法轮功学员张爱丽被劫入山东省女子监狱
n12253247,因迫害法轮功 武汉逾三百人厄运缠身（1）
n12289882,邢天行：这个最黑暗日子里最耀眼的神奇
n12286889,上半年 六百逾65岁法轮功学员遭中共迫害
n12287474,【瘟疫与中共】大连瘟疫来势汹汹 原因何在？
n12289866,11年冤狱致残 法轮功学员姜全德再被绑架
n12292682,长春14位法轮功学员遭非法关押11月有余
n12249199,中共三桶油华尔街圈钱 背后黑幕鲜为人知
n12291890,原大连讲师刘荣华 不堪回首的10年冤狱生活
n12295388,辽宁法轮功学员韩崇辉屡遭中共关押抢劫
n12295790,迫害法轮功为何是中国最大的人权灾难
n12292923,见证中共罪行 原大连讲师刘荣华10年冤狱
n12297184,广东法轮功学员吴朝棋被秘密劫入监狱
n12298849,中共为何强行火化他们的遗体（9）
n12297484,代表14亿被监控的人说话 中共谎言知多少
n12301419,武汉85岁老人遭绑架 逾20万元被抢劫
n12300920,妻被害死 法轮功学员尹国志遭冤判10年
n12301737,多省公安专项行动打压法轮功 煽动全民参与
n12303221,北京法轮功学员周晶被警察破门入室绑架
n12306396,恐惧真相插播 中共设10万奖金“举报”
n12305488,广州76岁法轮功学员王雪祯遭非法关押逾1年
n12305992,吊铐 束缚衣 药物 中共对78岁老人上酷刑
n12311070,北京市顺义区前区委书记王刚落马
n12312235,法轮功“避疫良方” 惊现中共南方日报
n12308836,辽宁丹东法轮功学员李才宇被构陷 公安终撤案
n12313761,上半年 62位修炼法轮功的教师遭中共迫害
n12314839,宁夏八名法轮功学员遭非法庭审 律师无罪辩护
n12307209,大陆发生多起大规模绑架法轮功学员事件
n12317268,7月份 至少28名法轮功学员被非法判刑
n12318387,北京画家许那一案 律师：警察违法抓人
n12314588,中共迫害修炼法轮功的耄耋老人
n12319770,武汉市玉笋山“洗脑班” 药物摧残人的恶行
n12320234,大连近两百人遭厄运 都曾迫害法轮功（3）
n12322108,大庆优秀教师王凤臣被呼兰监狱折磨致死
n12322405,见证中共罪恶 铁窗毁掉了他们的大好年华
n12325078,遭冤狱九死一生 法轮功学员罗建容再陷囹圄
n12284957,因迫害法轮功 武汉逾三百人厄运缠身（3）
n12326310,追查国际最新公告：追查中共常委赵乐际
n12325297,参与迫害法轮功 山东省逾两千人遭厄运
n12327882,彝族工程师何莉春遭云南女监非法严管9个月
n12328183,21年 中共制造法轮功冤案惨绝人寰
n12330757,一日内 山东高密绑架四十六名法轮功学员
n12331763,中共强摘器官 USCIRF吁美调查制裁
